cik,revtq,atq,ltq,niq,derhedglq,ppegtq,fqtr,fyearq,fyr,datacqtr,conm,datadate
29534.0,2066.016,2840.366,1192.549,75.558,,2063.696,2.0,2005.0,1.0,2005Q2,DOLLAR GENERAL CORP,2005-07-31
29534.0,2057.888,2930.781,1316.494,64.425,,2139.087,3.0,2005.0,1.0,2005Q3,DOLLAR GENERAL CORP,2005-10-31
29534.0,2480.504,2992.187,1271.392,145.272,,2221.54,4.0,2005.0,1.0,2005Q4,DOLLAR GENERAL CORP,2006-01-31
935703.0,749.093,1694.583,625.888,29.012,,,1.0,2005.0,1.0,2005Q1,DOLLAR TREE INC,2005-04-30
935703.0,769.027,1679.812,582.617,27.31,,,2.0,2005.0,1.0,2005Q2,DOLLAR TREE INC,2005-07-31
935703.0,796.787,1769.171,688.386,31.097,,,3.0,2005.0,1.0,2005Q3,DOLLAR TREE INC,2005-10-31
935703.0,1079.017,1798.4,626.125,86.499,,1239.886,4.0,2005.0,1.0,2005Q4,DOLLAR TREE INC,2006-01-31
29534.0,2151.387,3063.467,1376.653,47.67,,2286.564,1.0,2006.0,1.0,2006Q1,DOLLAR GENERAL CORP,2006-04-30
29534.0,2251.053,3245.197,1523.72,45.468,,2360.668,2.0,2006.0,1.0,2006Q2,DOLLAR GENERAL CORP,2006-07-31
29534.0,2213.396,3206.303,1503.362,-5.285,,2410.754,3.0,2006.0,1.0,2006Q3,DOLLAR GENERAL CORP,2006-10-31
29534.0,2553.986,3040.514,1294.767,50.09,,2430.811,4.0,2006.0,1.0,2006Q4,DOLLAR GENERAL CORP,2007-01-31
935703.0,856.5,1837.8,670.4,32.9,,,1.0,2006.0,1.0,2006Q1,DOLLAR TREE INC,2006-04-30
935703.0,883.6,1775.3,661.5,29.0,,,2.0,2006.0,1.0,2006Q2,DOLLAR TREE INC,2006-07-31
935703.0,910.4,1851.0,692.4,32.5,,,3.0,2006.0,1.0,2006Q3,DOLLAR TREE INC,2006-10-31
935703.0,1318.9,1873.3,705.6,97.6,,1413.3,4.0,2006.0,1.0,2006Q4,DOLLAR TREE INC,2007-01-31
29534.0,2559.573,8656.431,5943.436,55.389,,1389.563,4.0,2007.0,1.0,2007Q4,DOLLAR GENERAL CORP,2008-01-31
29534.0,2275.267,3074.309,1277.532,33.645,,2445.133,1.0,2007.0,1.0,2007Q1,DOLLAR GENERAL CORP,2007-04-30
29534.0,2347.564,,,-68.818,,,2.0,2007.0,1.0,2007Q2,DOLLAR GENERAL CORP,2007-07-31
29534.0,2312.842,8931.735,6236.731,-33.032,,,3.0,2007.0,1.0,2007Q3,DOLLAR GENERAL CORP,2007-10-31
935703.0,975.0,1762.9,665.0,38.1,,,1.0,2007.0,1.0,2007Q1,DOLLAR TREE INC,2007-04-30
935703.0,971.2,1837.0,733.7,32.6,,,2.0,2007.0,1.0,2007Q2,DOLLAR TREE INC,2007-07-31
935703.0,997.8,1867.9,883.1,35.9,,,3.0,2007.0,1.0,2007Q3,DOLLAR TREE INC,2007-10-31
935703.0,1298.6,1787.7,799.3,94.7,,1575.1,4.0,2007.0,1.0,2007Q4,DOLLAR TREE INC,2008-01-31
29534.0,2403.498,8662.999,5923.28,5.916,,,1.0,2008.0,1.0,2008Q1,DOLLAR GENERAL CORP,2008-04-30
29534.0,2609.384,8909.79,6131.83,27.718,,,2.0,2008.0,1.0,2008Q2,DOLLAR GENERAL CORP,2008-07-31
29534.0,2598.938,8940.101,6163.487,-7.306,,,3.0,2008.0,1.0,2008Q3,DOLLAR GENERAL CORP,2008-10-31
29534.0,2845.848,8889.199,6043.58,81.854,,1561.008,4.0,2008.0,1.0,2008Q4,DOLLAR GENERAL CORP,2009-01-31
935703.0,1051.3,1771.1,733.7,43.6,,,1.0,2008.0,1.0,2008Q1,DOLLAR TREE INC,2008-04-30
